post_id,slug,description
# 검색결과 스니펫용 발췌문. Rank Math 기본 설명 템플릿이 %excerpt% 라서,,
# 발췌문이 비면 본문 첫 부분(=광고표시 문구)이 스니펫으로 나간다.,,
25,/dog-food-guide/,"강아지 사료 추천은 순위표보다 성분표가 먼저입니다. 첫 원료와 완전균형식 표기, 조단백 기준을 읽는 법부터 노령견·처방식으로 넘어가야 할 시점까지 정리했어요."
62,/cat-food-guide/,"고양이 사료 추천은 완전 육식동물이라는 전제에서 출발합니다. 동물성 단백질 비율과 타우린, 완전균형식 표기를 확인하는 법과 건식·습식을 나누는 기준까지."
33,/cat-litter-guide/,"고양이 모래 추천 전에 종류부터 정하세요. 벤토나이트와 두부 등 5종을 응고력·먼지·냄새·사막화로 비교하고, 아이가 모래를 거부할 때 확인할 것까지 담았어요."
46,/pet-water-fountain/,"자동급수기 추천 기준은 정수 필터와 소음, 세척 편의 셋입니다. 물을 안 마시는 아이에게 급수기가 답이 되는 경우와 그렇지 않은 경우를 나눠 정리했어요."
50,/cat-scratcher-guide/,"고양이 스크래처는 아이가 어디를 긁는지부터 보고 고릅니다. 수직·수평·하우스형의 차이와 넘어지지 않는 안정성 기준, 새 스크래처를 안 쓸 때 대처법까지."
135,/senior-dog-care/,"노령견 사료 추천은 7살부터 시작합니다. 저단백이 늘 옳지는 않은 이유와 관절·체중·신장 수치로 사료를 바꾸는 판단 기준, 계단과 미끄러운 바닥 관리까지."
144,/dog-dental-care/,"강아지 치석 제거는 집에서 3단계로 나눠 관리합니다. 치태가 굳는 데 걸리는 시간과 칫솔질을 거부할 때 순서, 스케일링이 필요해지는 신호를 구분해 정리했어요."
165,/cat-auto-litter-box/,"고양이 자동화장실은 사기 전에 다섯 가지를 따져야 합니다. 안전 센서·소음·세척 난이도·모래 호환, 그리고 아이가 안 들어갈 때까지 미리 짚었어요."
175,/cat-home-alone/,"고양이 혼자 두기, 1박과 3박은 준비가 다릅니다. 급수와 화장실, 실내 온도를 기간별로 나누고 며칠을 넘기면 사람이 와야 하는지 기준을 정리했어요."
194,/pet-shedding-brushing/,"강아지 털갈이는 막을 수 없어도 빠지는 양은 줄일 수 있어요. 털 길이별로 빗 고르는 법과 빗질 순서, 털갈이로 보기 어려운 탈모 신호까지 정리했습니다."
204,/dog-cardiomegaly/,"강아지 심장비대는 집에서 숫자 하나로 살필 수 있습니다. 자는 동안 1분간 호흡수를 세는 방법과 기준치, 병원에 가야 하는 변화를 정리했어요."
219,/dog-paw-smell/,"강아지 발 냄새, 흔히 발사탕이라 부르는 그 냄새가 정상인지 가려봅니다. 정상 체취와 지간염·곰팡이를 구분하는 순서, 집에서 할 수 있는 관리까지."
230,/cat-kidney-disease/,"고양이 신부전 초기 증상은 물그릇에서 먼저 보입니다. 음수량과 소변량 변화로 알아채는 법, 병기별로 달라지는 관리와 검사 수치 읽는 법을 정리했어요."
239,/cat-wet-vs-dry/,"고양이 습식 사료를 꼭 줘야 할까요. 수분 섭취량과 치아, 비용과 보관을 놓고 건식과 나눠 정하는 기준을 우리 집 상황에 맞게 결정하도록 정리했어요."
245,/dog-summer-skin/,"강아지 피부병이 여름 끝에 몰리는 이유는 습기입니다. 젖어 있는 자리를 찾는 법부터 씻기보다 말리기가 먼저인 이유, 병원에 가야 하는 신호까지 3단계로."
256,/dog-chuseok-travel/,"강아지 차 멀미는 머리보다 기억이 문제입니다. 추석에 데려가기 전 정할 것부터 차 안·본가 방·친척들 앞에서 각각 할 일과 명절 음식 주의, 챙길 것 체크리스트까지."
